,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
Cnstr,0.455336899062856,0.2724079870602875,0.5817868312634649,0.5981907299533644,0.2481654229123701,0.40849358362727195,0.6551324678853551,0.5145911018349798,0.5500557339012471,0.3694324953604904,1.0,0.5013477143234826,0.47667448543962143,0.6287798297679383,0.49981704026517115,0.3550501330691174,0.5416754889638372,0.46384830633583607,0.5453061171787418,0.5922403066146011,0.5558586695609098,0.5910320748855944,0.5441192754191684,0.4314387249084822,0.40045584351336716,0.35152290003461817,0.5727549078890645,0.5383140393109187,0.6159679847905428,0.6543176855639145
Steel,0.37623182077450895,0.2009755719710077,0.4697225405167132,0.5152711280614869,0.23797851028571032,0.3877317357591336,0.5160597113226789,0.40657695874672484,0.41231163366912954,0.2682797825110248,0.5013477143234826,1.0,0.3753387330245612,0.4950957108560072,0.4075668930210719,0.31956623332512335,0.41799564938677763,0.35724483052003964,0.42662089544252035,0.47785857711934293,0.47801595716593936,0.498788481476986,0.44396460935534027,0.3046878262409556,0.3109441772952447,0.31859389216380274,0.4789514412628436,0.4446667119144641,0.4624599173873173,0.5351600906914281
FabPr,0.4337605164160323,0.21474487917143908,0.551960133632074,0.5292684047885643,0.2458861727533603,0.4143283661220534,0.5196147778842413,0.4257420266138907,0.44305012626036877,0.26912993587604017,0.47667448543962143,0.3753387330245612,1.0,0.5620845953036863,0.3513032748666522,0.29832077387719885,0.47945929811360577,0.3450614176149671,0.42362989438831,0.5049546914748305,0.4818290638962582,0.45445054155561443,0.45919031815511874,0.4213510600633241,0.2287639805594801,0.4385659528145227,0.46350668737620504,0.46494979525397795,0.5342380332483008,0.5192063072682495
ElcEq,0.5197349980884874,0.2958560273640941,0.7038594615388111,0.6646461522210242,0.25894355542605707,0.48125373026300333,0.6754826823765265,0.5518775045372503,0.5880116689780249,0.3884934986144586,0.6287798297679383,0.4950957108560072,0.5620845953036863,1.0,0.4953614612851056,0.32822087545420137,0.5662679267962691,0.479807907086173,0.5888981786792612,0.6456276160227731,0.6496114880822434,0.6234857673529579,0.5361904431705931,0.39365137666366534,0.38690798882797145,0.40181648113171237,0.6435613000093999,0.5404182879560726,0.6897238656330182,0.709605000338907
Autos,0.43532930259953545,0.29289613513086993,0.5314922131502473,0.5521008046492393,0.20004804042200933,0.3776875847883984,0.5182949722918107,0.42350065285184774,0.4855619250893951,0.3333136692861777,0.49981704026517115,0.4075668930210719,0.3513032748666522,0.4953614612851056,1.0,0.2762432716222045,0.47527197964883167,0.38615125604526485,0.43225037733815674,0.49396121302185725,0.4979747059663648,0.4789231957532728,0.4219271672837983,0.3750714546320569,0.3294046481116208,0.30371672897324087,0.5024444130348641,0.4083460078546368,0.5408588713579829,0.5250655250094604
Carry,0.29676344091265466,0.199321075169473,0.32710406031484096,0.3589735177244061,0.15424987216457464,0.2735911561303296,0.31100835918816616,0.30965696024129885,0.2969861979001976,0.13850422010080693,0.3550501330691174,0.31956623332512335,0.29832077387719885,0.32822087545420137,0.2762432716222045,1.0,0.3474369892285063,0.26292118902968037,0.2634425139559146,0.35164983282850903,0.28950617788664107,0.3828558603249523,0.361855798998398,0.22585677289667236,0.2856808078793108,0.2740998558020082,0.3622984346412399,0.33068677913025496,0.32015141389291596,0.2964561564642741
Mines,0.4609259342192598,0.33925539645080116,0.5705755219820148,0.5971545206154644,0.3015430386191832,0.43501455832560926,0.6267937790689511,0.46939336663081094,0.5431196874558671,0.35672892523792366,0.5416754889638372,0.41799564938677763,0.47945929811360577,0.5662679267962691,0.47527197964883167,0.3474369892285063,1.0,0.471112033952557,0.5503604747401313,0.5806985596823041,0.5580968235928329,0.5949201834743142,0.4895827172563624,0.3957451114772572,0.3903717147073418,0.33693040831737353,0.5701601018403241,0.5497013187266059,0.6346530203611895,0.6273898926496679
Coal,0.3642123898592438,0.2366387209208566,0.44269384171852494,0.44524151441193904,0.20358895659131063,0.32728778417541776,0.5046308540560163,0.3790294829099498,0.4531701385620688,0.23749440407367847,0.46384830633583607,0.35724483052003964,0.3450614176149671,0.479807907086173,0.38615125604526485,0.26292118902968037,0.471112033952557,1.0,0.40127438781186564,0.42672649574184474,0.43907236108473896,0.4675410910354851,0.376379889431142,0.28464852936062823,0.3000311842831394,0.2681581706975353,0.45661954945932764,0.4084848773974052,0.5134037787109786,0.5203521872121066
Oil,0.42355177263036936,0.257810316194172,0.5710470063537132,0.566300918593435,0.20256428485867958,0.39236953368937416,0.562550041963086,0.4694361455652532,0.5668684695188243,0.3748821046521984,0.5453061171787418,0.42662089544252035,0.42362989438831,0.5888981786792612,0.43225037733815674,0.2634425139559146,0.5503604747401313,0.40127438781186564,1.0,0.5631706117854467,0.5406618303178522,0.5217821583775157,0.4705497561570533,0.3643488780390476,0.3556287812921788,0.3687560511749206,0.5289441826965029,0.4657562637933258,0.5611735057093122,0.590546254428268
Util,0.5431112604248761,0.3305604742980732,0.6166307467934362,0.6431756573812137,0.2523195333901325,0.4332074007415091,0.6302755928415411,0.5300418901690126,0.5642653960991597,0.34703399419815334,0.5922403066146011,0.47785857711934293,0.5049546914748305,0.6456276160227731,0.49396121302185725,0.35164983282850903,0.5806985596823041,0.42672649574184474,0.5631706117854467,1.0,0.6274338941261338,0.6026202718049848,0.5128696175988325,0.38676950812653815,0.398786800145984,0.4128015866540915,0.6136756831493791,0.5916667362096129,0.6454321563852939,0.6437990662739299
Telcm,0.491883408969461,0.3248420472353252,0.5912671014551831,0.6429524081718808,0.2543117365308304,0.5100045750062174,0.6149250685890342,0.4963211029287074,0.581823350939843,0.3446564153064509,0.5558586695609098,0.47801595716593936,0.4818290638962582,0.6496114880822434,0.4979747059663648,0.28950617788664107,0.5580968235928329,0.43907236108473896,0.5406618303178522,0.6274338941261338,1.0,0.5838050794447025,0.5048243817132395,0.38509765378345956,0.41252062956727475,0.37858033517689815,0.5505141179976814,0.5342333934947997,0.6588636300717775,0.6567859588450464
Servs,0.5032248912783811,0.3480976945924858,0.6199305808784682,0.6698789055091482,0.2348045790072887,0.4227668694473053,0.6465147598658372,0.48605065299887684,0.5378884853306717,0.34974535230048037,0.5910320748855944,0.498788481476986,0.45445054155561443,0.6234857673529579,0.4789231957532728,0.3828558603249523,0.5949201834743142,0.4675410910354851,0.5217821583775157,0.6026202718049848,0.5838050794447025,1.0,0.5566730940633039,0.4476518098285615,0.4374256750019512,0.39610362230527896,0.5774114143165315,0.4648534775746595,0.6544955411705061,0.6639362758605843
BusEq,0.46205189863470986,0.27646442165385443,0.5486658251991862,0.5222668267751824,0.16106187161702282,0.38185544308640873,0.5517043761371422,0.42050680309775545,0.5038384960657246,0.3248098172006825,0.5441192754191684,0.44396460935534027,0.45919031815511874,0.5361904431705931,0.4219271672837983,0.361855798998398,0.4895827172563624,0.376379889431142,0.4705497561570533,0.5128696175988325,0.5048243817132395,0.5566730940633039,1.0,0.37440337878243946,0.3927159365854316,0.37302392770329446,0.560869386893713,0.4601685739755782,0.5537439745589485,0.5732993891503665
Paper,0.34849075438986704,0.2278191634862448,0.401982611372634,0.4333536843266551,0.16213546833685322,0.3115684197489904,0.4564608325211681,0.28622506212718696,0.4060014015257029,0.25136564560028507,0.4314387249084822,0.3046878262409556,0.4213510600633241,0.39365137666366534,0.3750714546320569,0.22585677289667236,0.3957451114772572,0.28464852936062823,0.3643488780390476,0.38676950812653815,0.38509765378345956,0.4476518098285615,0.37440337878243946,1.0,0.3028473491512594,0.3259321899512472,0.32458780048779334,0.3180821725396284,0.44374740650906047,0.46659746768064414
Trans,0.2986484085182446,0.2869246288208086,0.37432760531122583,0.3808512053853852,0.22669463362131775,0.2622409334742364,0.416802999097674,0.2962839428280846,0.3917927341144567,0.17330829489670388,0.40045584351336716,0.3109441772952447,0.2287639805594801,0.38690798882797145,0.3294046481116208,0.2856808078793108,0.3903717147073418,0.3000311842831394,0.3556287812921788,0.398786800145984,0.41252062956727475,0.4374256750019512,0.3927159365854316,0.3028473491512594,1.0,0.21993225577404357,0.36476356450752856,0.3633483281682658,0.4200841663079087,0.47148351608280364
Whlsl,0.36342076365238324,0.1550016336674722,0.40665394769419144,0.4063795179648238,0.194739142637814,0.28349440853329927,0.37109927962584044,0.32262225327571975,0.3675693801924744,0.2194108491374139,0.35152290003461817,0.31859389216380274,0.4385659528145227,0.40181648113171237,0.30371672897324087,0.2740998558020082,0.33693040831737353,0.2681581706975353,0.3687560511749206,0.4128015866540915,0.37858033517689815,0.39610362230527896,0.37302392770329446,0.3259321899512472,0.21993225577404357,1.0,0.3741015607676676,0.361781948292128,0.390016932993657,0.4012877573501268
Rtail,0.4826823431439338,0.27501668163946014,0.60513058572536,0.6060224921292477,0.2274124760095098,0.4482282207537811,0.6127066376948812,0.5271864352022054,0.5940359495830438,0.41079212691706635,0.5727549078890645,0.4789514412628436,0.46350668737620504,0.6435613000093999,0.5024444130348641,0.3622984346412399,0.5701601018403241,0.45661954945932764,0.5289441826965029,0.6136756831493791,0.5505141179976814,0.5774114143165315,0.560869386893713,0.32458780048779334,0.36476356450752856,0.3741015607676676,1.0,0.5171317437799591,0.6628759192738974,0.6316468123593195
Meals,0.4676546273100621,0.24833489635173825,0.571595592182541,0.5230234918322976,0.2657460587009854,0.39712568442553164,0.5207835890285694,0.4552922073322404,0.48028337726681714,0.3114617984031791,0.5383140393109187,0.4446667119144641,0.46494979525397795,0.5404182879560726,0.4083460078546368,0.33068677913025496,0.5497013187266059,0.4084848773974052,0.4657562637933258,0.5916667362096129,0.5342333934947997,0.4648534775746595,0.4601685739755782,0.3180821725396284,0.3633483281682658,0.361781948292128,0.5171317437799591,1.0,0.561000762321393,0.5616781578016371
Fin,0.533471996967388,0.3407930668279515,0.6524267567124308,0.6701701428738295,0.26764115518887116,0.5083993659952196,0.684383904743241,0.5406147529798297,0.6193669481958065,0.39820241967294334,0.6159679847905428,0.4624599173873173,0.5342380332483008,0.6897238656330182,0.5408588713579829,0.32015141389291596,0.6346530203611895,0.5134037787109786,0.5611735057093122,0.6454321563852939,0.6588636300717775,0.6544955411705061,0.5537439745589485,0.44374740650906047,0.4200841663079087,0.390016932993657,0.6628759192738974,0.561000762321393,1.0,0.7147380833946652
Other,0.5328768100866583,0.36584396982147016,0.6810714826901336,0.6716578987370998,0.2979907466495116,0.49964897742172126,0.7207098775192424,0.5740070799410403,0.6084063941454082,0.4111262240047203,0.6543176855639145,0.5351600906914281,0.5192063072682495,0.709605000338907,0.5250655250094604,0.2964561564642741,0.6273898926496679,0.5203521872121066,0.590546254428268,0.6437990662739299,0.6567859588450464,0.6639362758605843,0.5732993891503665,0.46659746768064414,0.47148351608280364,0.4012877573501268,0.6316468123593195,0.5616781578016371,0.7147380833946652,1.0
