,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
1992-05-01,1.57,3.83,3.04,1.67,2.77,0.32,1.35,4.27,1.36,3.8,5.02,-3.8,0.59,9.82,-4.47,-11.55,-4.91,2.55,4.17,2.95,7.37,-4.28,7.01,11.89,-4.34,0.14,0.18,-1.31,2.25,7.94
1992-06-01,8.78,-3.8,4.66,-3.12,8.26,-1.32,-2.13,-0.46,8.8,3.42,-6.91,3.11,-4.44,-5.84,2.79,-1.46,-1.75,-1.24,-1.36,-0.83,-8.91,-0.08,-9.87,-10.91,-2.67,-1.81,-6.19,1.57,-7.42,-4.16
1992-07-01,-3.79,-0.24,0.8,-4.65,3.99,0.46,-6.13,-9.78,-0.54,-1.27,-1.11,-0.65,1.41,3.16,-8.02,-7.73,-5.28,1.35,6.97,-1.34,-8.76,-4.37,-5.67,-3.61,-2.85,-0.11,-1.67,5.3,-2.7,-2.95
1992-08-01,10.82,-6.58,10.37,9.77,2.05,9.64,5.4,16.24,5.85,-2.38,9.13,1.54,2.92,10.98,11.47,0.9,12.1,9.57,17.53,8.82,11.51,0.68,7.94,1.41,6.46,2.3,7.59,17.88,7.18,9.27
1992-09-01,-1.49,0.72,-0.2,1.81,6.16,5.97,0.9,2.74,-4.59,-0.42,3.9,5.43,1.42,3.04,2.76,7.82,0.96,-1.12,1.72,-9.24,1.42,-9.23,-11.27,2.36,2.57,-7.72,-3.48,7.12,-1.97,6.7
1992-10-01,5.15,6.15,12.39,6.68,-2.86,2.47,4.73,-2.61,3.34,-0.95,9.98,5.87,3.26,5.57,6.45,7.3,0.55,-0.7,12.41,3.43,-0.48,4.74,9.52,-4.74,5.07,8.56,7.31,8.48,0.47,6.24
1992-11-01,-4.67,-4.96,0.23,3.0,8.42,3.47,-3.01,-0.63,-0.09,-0.94,-3.14,1.99,-2.75,-6.98,-6.16,2.38,-3.11,-0.03,0.45,-3.51,0.4,-0.9,-11.67,5.78,-5.43,-13.05,-8.02,-8.46,-3.1,-3.89
1992-12-01,-1.42,5.12,1.99,2.1,2.7,2.77,-6.03,-1.34,-7.69,0.76,0.32,7.45,7.94,1.17,-3.09,3.6,-1.93,0.7,6.41,-1.02,3.51,2.24,-5.39,6.01,4.45,0.94,-2.95,-4.06,-1.4,2.22
1993-01-01,-8.82,1.75,-8.58,-4.42,0.23,7.33,-7.08,4.77,-2.4,0.71,-3.29,-0.63,-3.39,1.79,-6.52,5.59,-6.06,-1.66,-9.94,-0.92,2.75,-2.11,-5.09,-9.18,-3.86,-12.72,-7.47,-1.87,0.87,5.5
1993-02-01,-3.61,10.74,0.87,-0.7,2.63,0.54,0.35,-2.06,-5.41,-8.88,2.65,-2.09,-3.35,-0.42,4.87,1.21,-3.15,5.16,9.17,1.78,3.56,3.23,7.2,3.37,3.36,3.11,-5.24,3.63,-4.68,-2.55
1993-03-01,13.77,9.6,12.41,5.52,-3.44,2.26,5.62,4.82,8.83,1.59,7.87,-0.39,8.12,6.63,0.48,2.04,4.67,2.63,16.93,4.87,4.04,-1.37,1.42,3.06,-0.07,13.08,5.25,12.49,5.66,5.84
1993-04-01,-7.12,-3.56,-0.58,-18.07,-11.06,-4.79,-6.19,-2.01,-4.55,-6.29,-3.44,-0.98,-4.78,-4.87,-5.55,-7.8,-3.88,-3.2,-7.97,-0.95,-14.01,-8.06,-16.23,-7.97,-6.85,-15.1,-11.78,-11.45,0.69,-1.44
1993-05-01,1.16,-0.34,-0.68,-3.92,1.02,-1.3,3.21,-4.92,0.2,3.35,5.66,6.76,-4.3,7.66,-1.89,6.49,3.47,-2.89,2.31,4.64,5.41,2.26,14.54,8.81,1.04,7.51,13.24,14.11,-0.46,0.87
1993-06-01,12.03,-5.98,-2.46,1.14,3.36,1.33,0.55,-1.16,-0.46,-3.26,13.52,4.89,8.08,1.02,1.22,-2.88,-9.2,-3.46,-7.63,-4.56,-1.71,5.33,3.19,9.66,4.34,6.97,-1.35,5.48,4.83,0.98
1993-07-01,2.31,3.67,-3.79,-6.38,-5.55,0.03,-0.11,-4.91,-1.33,2.71,1.05,8.69,6.77,-6.05,9.51,-4.19,3.16,-0.13,-4.04,-6.66,-1.48,-4.71,4.59,7.59,-5.98,0.76,-4.75,-4.71,0.88,-1.49
1993-08-01,5.6,-6.35,-2.02,-5.94,2.88,-3.8,-5.13,-4.87,-8.1,0.68,-3.59,-2.35,4.58,-1.2,-8.46,-0.86,-8.38,-2.74,-9.94,0.71,-3.03,-4.1,0.81,-17.35,-16.43,0.71,-5.33,-4.15,-10.03,-5.66
1993-09-01,14.47,7.38,2.8,0.4,-0.82,-6.05,2.66,5.62,-4.3,-2.48,-3.52,-4.43,2.35,-6.45,5.72,6.19,0.64,-8.28,-3.75,5.88,-7.92,0.55,-5.14,6.15,-2.81,3.92,4.83,11.69,1.03,3.08
1993-10-01,-10.11,8.43,-4.31,-3.57,0.17,-5.5,-0.13,3.92,-0.08,-9.72,-2.06,3.65,-11.88,-5.96,4.46,1.23,0.67,7.11,1.53,1.5,8.87,-1.08,-6.37,1.51,1.71,-4.3,-5.9,11.3,-0.23,-3.3
1993-11-01,8.46,0.97,1.92,5.68,-4.95,2.88,8.6,4.39,0.74,-1.1,0.88,1.18,0.47,6.7,-9.11,7.38,0.85,3.45,-3.62,6.87,6.81,4.39,-6.31,6.95,4.29,-8.34,2.83,4.6,4.25,3.27
1993-12-01,3.57,12.01,6.89,-10.45,-0.51,0.61,-3.89,1.77,5.75,-5.12,3.2,-4.38,-2.22,7.71,-2.23,4.14,-6.79,8.7,5.42,1.14,3.62,-2.31,9.76,-0.62,-0.15,-2.0,-0.92,5.34,2.25,3.68
1994-01-01,9.22,9.28,8.67,20.76,-4.42,9.22,13.03,3.19,16.07,11.82,15.05,10.55,7.46,10.33,11.89,15.01,9.99,2.28,15.62,11.35,10.25,8.33,10.1,2.28,1.62,-3.37,11.06,8.85,7.8,0.42
1994-02-01,-7.25,8.71,-2.34,2.1,-6.07,5.52,-0.0,1.72,8.55,9.31,-1.29,-3.66,-1.29,2.22,-0.63,-2.24,6.76,0.16,13.99,0.91,6.8,1.32,6.74,-4.02,-5.02,3.11,5.27,0.58,-3.96,-3.79
1994-03-01,-12.1,-14.63,-3.4,0.95,-0.46,-9.06,-3.67,-3.48,4.36,-10.44,-6.09,7.37,-0.09,-2.27,-3.09,0.13,-0.11,-4.82,1.17,-7.08,-1.45,-1.7,-8.24,-3.12,-6.5,-9.66,-5.16,-9.34,-2.68,-7.03
1994-04-01,6.94,-7.04,0.34,0.21,7.67,2.68,1.67,4.34,-5.78,1.46,11.86,3.47,2.91,4.88,8.13,-11.44,-5.19,2.64,-1.48,6.59,1.13,-3.13,-5.05,-14.11,0.24,0.53,0.63,8.16,6.04,1.93
1994-05-01,-10.59,6.27,5.19,4.5,6.06,-2.38,8.84,-2.62,4.78,-8.04,-1.63,12.91,1.12,6.31,3.95,1.03,8.53,0.99,-7.56,-0.01,4.33,2.92,-6.72,-2.15,-1.71,-0.45,-3.72,-0.77,0.08,5.03
1994-06-01,13.16,3.79,7.47,10.28,-1.11,0.35,4.67,3.32,2.7,6.21,12.56,-1.54,7.85,8.84,10.35,5.06,1.56,0.2,9.55,10.67,-0.77,6.52,18.01,5.81,9.28,1.69,8.12,-0.54,0.52,11.19
1994-07-01,-0.5,0.08,0.52,0.54,1.29,0.56,6.47,6.63,5.85,5.08,13.59,-0.94,5.06,11.19,13.87,-5.71,4.08,9.03,9.43,5.79,4.11,2.96,8.99,3.1,3.79,4.72,2.76,8.42,14.76,0.24
1994-08-01,5.37,-3.46,6.03,4.14,5.18,6.01,3.74,8.11,-5.88,11.55,5.26,10.74,-4.03,0.34,4.03,2.02,4.4,6.59,-6.69,6.26,2.98,1.85,-5.26,5.56,-12.25,6.56,-3.58,3.54,2.7,6.93
1994-09-01,7.5,0.05,7.56,15.8,5.59,3.22,7.36,-0.83,8.78,-4.71,13.25,10.47,22.48,5.89,7.91,17.19,13.8,2.73,11.29,7.82,8.39,4.21,10.42,-2.18,7.16,9.46,8.13,-0.01,11.69,9.93
1994-10-01,-8.52,-4.17,-10.94,-9.36,-3.23,2.58,-5.83,-0.2,-5.92,-0.97,-5.85,0.92,-6.72,-11.94,-13.88,-5.99,-9.91,-0.48,-7.7,4.21,-9.35,-2.18,-12.54,-6.54,-2.5,-18.31,-3.17,5.93,-5.97,-3.51
1994-11-01,4.99,-1.81,-4.17,-11.66,3.23,-0.76,-4.54,-0.6,-3.74,-3.85,0.74,-10.81,5.19,-7.93,-6.34,11.68,3.31,-0.15,-7.42,-2.76,-0.8,-0.81,-2.5,-1.61,-2.63,-10.58,-3.99,3.31,-6.2,-2.18
1994-12-01,-7.86,-0.58,-4.93,3.03,2.19,-5.57,-0.52,-6.1,-4.94,0.21,-6.02,2.48,-7.01,-6.49,-7.74,-5.42,1.79,1.13,6.64,4.97,-5.82,-1.66,-11.25,-7.12,-6.19,-9.2,-8.02,-3.74,-7.12,-0.43
1995-01-01,-5.91,20.69,-2.27,-0.02,-5.81,6.09,3.3,1.18,-5.44,1.22,-5.95,9.22,4.86,-0.37,-16.91,-6.53,2.57,4.96,6.1,-5.1,1.0,2.49,-11.05,-0.46,1.22,-2.33,-9.11,-2.11,-1.64,-0.81
1995-02-01,-8.4,-5.88,-5.93,-4.04,-2.36,-3.51,-4.37,-13.41,-3.03,-2.99,-6.06,0.47,-16.06,-14.69,-3.79,-3.13,-4.52,-4.46,-2.08,-1.2,-2.33,-3.98,-20.0,0.05,3.33,0.0,-9.49,-1.55,-2.69,-0.45
1995-03-01,-0.78,1.21,8.24,5.78,-3.55,4.04,6.2,4.08,4.63,1.57,12.0,-0.92,0.99,5.43,10.3,-6.8,-1.32,-4.92,5.5,0.74,2.72,4.95,1.78,5.1,1.51,7.76,7.27,0.91,3.91,7.92
1995-04-01,3.04,-9.72,3.21,-4.09,7.54,4.13,1.44,1.14,-0.59,4.47,-1.49,1.96,5.97,-2.04,-3.94,-7.4,-4.39,-6.55,4.8,6.48,5.61,-3.66,5.31,8.55,-2.57,0.88,-9.01,1.87,-3.17,1.09
1995-05-01,-15.06,1.1,-2.05,-9.92,-6.52,-9.75,-5.92,-7.24,-10.81,-0.62,-8.88,-13.61,-8.08,-2.89,-2.07,-4.21,-2.98,-7.48,-6.34,-4.11,-6.05,-2.52,-12.04,-1.84,-1.05,-23.16,-0.04,-21.89,-7.88,-2.56
1995-06-01,-5.15,-12.4,-8.32,0.56,-9.7,2.64,-3.21,-8.48,-5.34,-7.85,-0.16,0.93,-13.07,-6.15,-9.56,6.44,-9.51,4.72,-4.17,-6.37,-4.94,-4.17,-12.43,-2.4,-10.12,-16.73,-5.25,-13.03,-6.08,-6.25
1995-07-01,-2.28,16.68,3.64,4.76,-7.19,-0.4,3.61,-2.58,5.76,-4.92,1.92,-0.59,4.08,0.86,1.04,0.46,-0.33,4.1,4.91,2.68,1.27,4.24,2.42,0.66,2.77,13.11,-3.07,7.16,-3.18,3.79
1995-08-01,15.44,7.02,6.96,4.25,2.29,2.22,2.82,3.02,5.42,-0.79,2.43,-2.88,7.75,8.82,7.01,9.87,5.87,5.23,8.24,4.88,3.03,9.56,4.25,0.7,6.67,5.84,-0.71,11.59,5.15,2.31
1995-09-01,18.55,11.19,7.33,21.05,6.91,5.76,15.51,9.64,9.55,3.33,15.45,15.7,10.59,10.34,12.13,6.6,5.19,1.2,16.3,1.75,10.26,6.52,22.69,6.42,12.27,6.05,12.49,15.15,9.67,14.51
1995-10-01,9.33,11.27,21.34,21.43,14.26,5.31,10.27,7.52,15.97,12.87,18.36,10.06,19.14,14.08,23.57,28.46,17.18,11.92,15.2,8.15,11.12,7.96,10.59,23.06,13.29,14.48,15.14,14.73,18.75,15.89
1995-11-01,6.93,0.83,2.54,-1.86,-8.02,1.19,3.57,-3.47,2.76,2.73,-6.28,-2.23,5.98,5.64,-4.34,3.34,7.96,5.54,3.5,1.89,0.98,3.74,5.81,6.53,3.31,7.87,4.32,7.73,6.15,1.15
1995-12-01,-14.31,9.76,-2.61,-11.22,-3.81,1.47,-3.8,-5.06,1.98,-7.94,-7.81,-2.4,-0.29,-2.34,2.39,-0.62,-1.22,-2.55,-3.46,-2.2,-1.71,-0.09,-0.49,-2.59,-7.5,-2.23,-3.43,-2.24,3.52,-4.93
1996-01-01,-5.86,3.15,-9.47,-0.11,-3.74,-2.75,-10.57,-8.64,-7.09,-0.31,-9.0,-1.67,-8.23,-12.55,8.62,-2.78,-12.13,-7.53,-15.82,-4.38,-8.34,-5.47,-11.49,-3.24,-11.9,-13.86,-8.05,-5.6,-8.1,-11.47
1996-02-01,7.14,-3.59,1.01,-0.68,7.67,3.93,4.64,8.33,12.48,-8.02,-0.46,-1.04,-2.21,-1.19,0.62,-6.08,4.2,2.26,6.09,4.39,4.7,1.12,17.3,3.63,-9.25,-4.35,-5.22,2.92,2.26,1.46
1996-03-01,10.3,2.94,0.29,-6.8,-4.95,-0.65,-1.58,-10.94,-3.01,-1.2,-4.08,-8.26,-5.1,-4.01,-2.19,2.56,2.26,-2.19,-5.53,-0.4,0.38,-2.57,2.11,3.57,5.81,9.39,-6.55,-2.34,-2.64,-2.75
1996-04-01,-4.36,-10.9,-0.17,-3.82,0.85,-2.59,-3.8,0.78,-0.11,3.3,9.4,1.18,2.8,-5.29,-9.38,10.13,-4.71,-4.01,-0.83,-0.41,-3.32,-0.94,7.37,-5.21,-8.92,5.53,2.0,-3.8,-5.78,-2.77
1996-05-01,-1.6,8.02,-5.9,-1.97,3.44,-8.52,2.03,-6.89,-0.29,0.76,3.14,1.93,-15.24,-5.28,-0.87,-2.06,0.56,2.66,1.89,-1.64,-7.41,-1.97,0.93,-7.67,2.56,4.57,-0.76,-17.81,-5.77,4.34
1996-06-01,-2.42,-13.81,6.04,1.15,6.16,1.75,2.34,2.46,3.05,14.06,5.25,-9.7,3.78,5.37,8.58,-2.15,5.89,4.55,16.15,-1.36,-0.83,-0.04,-2.01,-4.58,-16.17,-2.25,2.81,-1.79,6.83,0.92
1996-07-01,14.76,5.97,10.91,9.21,9.09,3.81,7.88,7.09,4.63,6.75,17.96,5.63,8.92,13.08,14.2,4.34,-3.99,6.38,-5.39,10.84,6.39,7.22,2.75,-3.53,6.46,4.87,4.84,7.15,15.43,9.41
1996-08-01,8.93,7.76,8.67,1.97,-8.75,0.84,4.79,-2.91,1.15,-2.41,9.42,7.46,6.32,5.05,1.81,2.82,-3.09,-6.87,3.51,3.33,6.38,5.69,13.08,-4.0,-0.55,4.73,14.7,10.2,5.68,1.16
1996-09-01,-4.6,6.49,-3.7,-0.05,0.23,6.24,-0.3,-11.28,2.27,-3.4,0.8,0.16,-0.62,3.84,-9.73,-2.79,3.67,-1.58,-8.67,3.1,4.81,0.56,-11.58,4.64,-9.59,2.44,-3.31,-5.44,-0.87,0.22
1996-10-01,-7.28,2.63,-5.76,0.25,0.95,-3.71,-5.85,-10.77,-2.25,-4.03,-15.44,-7.63,-8.25,1.77,-15.25,-11.46,1.31,3.68,-8.49,-4.76,-0.5,-8.1,-16.32,-4.67,6.55,-5.63,-3.04,2.56,2.97,-5.33
1996-11-01,-6.42,9.93,-13.67,-3.2,-6.22,-2.44,-6.76,-9.85,-9.62,-2.27,-3.26,-8.42,-5.23,-6.14,-13.58,0.85,-3.09,6.77,-9.9,-6.91,-2.53,-2.21,-11.71,-7.99,-1.86,-10.55,-8.76,-6.12,-3.73,-8.57
1996-12-01,-12.13,-14.25,-6.13,-6.6,-0.41,-4.11,-2.87,-4.41,-2.56,7.44,1.86,-0.95,-3.19,-3.1,1.02,3.41,-4.98,0.05,-13.01,0.26,2.22,-1.11,10.71,-5.94,0.53,-1.0,-1.21,-1.44,-0.72,1.77
1997-01-01,9.97,0.97,4.78,-1.46,4.64,-1.63,4.72,11.8,0.44,-11.82,-1.37,9.52,4.8,2.27,7.72,4.06,6.55,4.77,10.43,2.56,4.46,0.24,-2.19,10.9,2.1,6.02,2.07,-1.87,1.1,5.72
1997-02-01,13.52,-6.58,10.42,19.76,2.37,-0.95,15.43,11.31,8.42,4.33,16.51,7.66,16.38,14.38,11.75,7.32,9.22,10.47,6.56,3.92,10.77,8.59,15.96,10.74,5.53,12.77,10.55,7.5,9.03,16.53
1997-03-01,-8.53,5.16,-4.52,2.17,-0.93,-5.76,3.34,-0.13,-5.96,6.47,8.95,12.25,4.44,2.55,10.77,12.42,7.07,-2.04,3.66,3.59,-4.3,2.81,17.44,5.43,10.35,2.73,2.07,4.19,-0.64,-0.75
1997-04-01,14.21,13.9,2.95,11.73,1.92,4.59,7.39,9.83,5.62,12.38,8.47,11.14,1.04,16.24,9.32,8.66,-0.96,0.86,14.58,6.7,-1.23,7.05,4.55,13.39,4.06,6.08,12.42,1.5,2.99,5.83
1997-05-01,4.43,-9.99,-7.89,2.63,-2.61,-1.4,-6.56,-4.0,-1.04,5.1,-4.93,9.92,-4.59,-4.19,9.01,0.93,-3.46,-0.74,6.93,4.22,-3.35,-0.55,-0.47,-6.6,-1.16,-0.78,4.67,5.56,-2.18,-1.56
1997-06-01,0.15,-6.4,-2.3,-5.26,-5.32,-4.95,0.76,-4.07,2.01,-5.41,-3.8,11.06,-9.84,-13.23,3.91,-7.9,-4.44,-4.4,-3.34,-6.41,-3.88,-1.55,-11.75,-7.72,-5.43,-12.55,-6.32,-3.59,-5.78,-5.13
1997-07-01,-3.06,-6.31,-0.68,2.63,-2.57,0.54,-3.56,-0.68,2.68,1.23,-12.24,-0.65,4.87,-5.11,3.07,-6.35,-9.87,-0.91,-14.08,-3.21,2.14,-6.81,-12.15,-8.76,-2.91,-4.92,3.54,1.94,-1.84,-2.76
1997-08-01,0.65,-7.17,1.31,-7.09,4.06,3.51,-1.07,-2.41,-0.53,-17.76,-1.17,-3.12,-1.78,0.1,-2.86,-8.56,-2.74,-0.51,-1.66,-0.91,2.23,-3.94,-1.31,5.74,-12.11,-0.52,-4.75,-3.97,-5.13,-2.54
1997-09-01,23.24,-2.32,8.43,8.4,12.27,4.51,11.01,7.4,6.78,6.21,24.98,22.52,5.96,16.97,6.38,-4.13,16.27,11.95,19.89,9.12,9.49,10.07,17.6,7.54,-0.98,9.82,17.79,5.45,13.85,13.12
1997-10-01,2.41,5.29,-5.62,-9.83,-2.71,2.27,-3.87,-5.3,-9.01,8.94,0.75,2.24,3.91,-1.0,-4.47,-2.48,-4.48,9.33,0.4,-3.32,-0.16,-4.06,6.65,-6.02,1.01,4.79,-0.59,-1.95,-2.68,-2.67
1997-11-01,2.05,0.13,12.37,6.22,-1.67,1.31,8.76,7.73,6.74,2.19,8.9,1.9,3.85,10.55,11.29,-2.83,1.68,4.12,16.66,-0.95,5.86,0.45,3.08,2.46,1.53,0.81,6.07,2.73,0.78,8.12
1997-12-01,2.04,4.86,-9.56,-1.96,3.04,-4.55,-2.5,-2.8,3.95,9.7,-11.38,13.28,-7.75,0.15,3.22,-8.15,-0.79,-1.71,-0.06,-1.44,2.07,-1.57,-4.61,3.88,1.19,2.35,-6.04,-8.44,-4.93,-4.8
1998-01-01,10.98,10.85,6.12,13.45,8.9,4.14,3.12,12.47,4.88,4.71,5.14,0.77,-3.0,9.74,0.71,23.82,1.11,-1.0,9.99,10.46,5.49,5.7,-4.13,1.02,-2.07,-7.56,7.07,-5.94,1.68,4.53
1998-02-01,-1.69,5.1,5.06,7.99,5.17,5.96,3.25,4.18,4.62,3.16,1.8,1.49,-1.5,5.6,2.57,-2.11,0.34,-2.38,9.69,3.51,0.04,4.51,0.77,-5.45,8.56,-0.92,1.76,3.61,6.88,3.54
1998-03-01,-6.56,4.7,-1.15,9.22,0.78,-6.95,1.95,10.11,6.18,11.4,-4.16,6.82,-3.31,1.55,-7.99,-3.62,-2.35,4.39,5.59,1.86,-3.84,-0.11,-3.75,5.6,7.52,7.24,-2.67,-13.87,-5.09,5.16
1998-04-01,-1.04,-4.48,8.27,7.17,1.06,0.02,0.93,2.18,6.76,3.51,4.67,9.17,-5.48,4.4,-0.89,-15.48,-8.23,-2.83,4.65,1.83,1.99,6.01,-6.4,0.85,2.68,-3.8,1.68,-7.22,5.64,-0.72
1998-05-01,11.18,-0.89,2.4,-2.08,-0.04,-2.42,-1.04,0.27,-4.53,-1.54,-5.04,13.35,-1.7,3.93,-3.31,0.78,-7.63,-2.34,-0.7,3.94,-0.34,2.56,2.11,7.99,-1.75,13.9,-3.91,-5.75,-5.76,5.49
1998-06-01,8.88,-0.09,9.29,7.44,11.14,-3.17,2.7,0.67,-4.15,8.71,2.74,8.97,17.84,2.82,0.7,3.17,7.96,0.34,0.51,6.9,4.63,-2.53,-3.13,11.73,5.05,-2.13,3.21,3.76,5.88,-0.39
1998-07-01,-5.75,1.9,-1.18,1.79,-5.58,1.29,2.92,1.86,-0.32,-0.77,-4.97,-1.37,7.27,-1.63,-6.93,-3.52,0.09,-1.48,2.05,1.38,2.79,3.31,5.63,-6.12,-6.11,-1.14,-2.73,-6.76,-2.32,-2.14
1998-08-01,-8.36,-4.53,-0.08,-4.24,11.31,-1.16,-4.89,-3.44,-3.19,0.02,4.34,-10.73,1.48,-4.93,-15.33,2.4,1.08,-5.59,-5.21,-9.06,-7.82,-0.16,-8.51,-10.27,-2.1,-6.9,-6.75,-0.47,-8.42,-7.28
1998-09-01,-3.47,4.76,-0.12,-8.3,3.8,-4.57,1.54,-9.19,0.48,-6.53,3.74,-1.45,-10.0,-8.21,0.08,4.08,-5.11,-2.18,-0.97,-3.34,-8.15,-5.05,-4.32,3.05,6.06,1.24,-3.39,-0.67,-7.09,-5.22
1998-10-01,-2.65,-7.55,4.02,3.69,4.57,3.41,3.07,4.6,1.7,4.1,-0.94,5.01,6.49,-0.11,2.48,-2.49,-0.09,-2.65,10.19,5.77,4.09,6.76,1.85,19.53,0.26,3.35,0.73,4.35,4.85,2.08
1998-11-01,20.23,7.21,11.4,6.97,5.18,4.36,6.71,3.47,17.58,4.39,3.55,5.59,8.35,13.27,12.87,10.22,6.21,7.15,5.43,6.32,4.65,3.35,18.56,11.61,12.65,7.27,13.53,-0.23,11.86,9.93
1998-12-01,6.32,4.36,-1.5,-3.71,-2.24,3.44,4.42,-4.84,-1.77,-2.58,0.72,-6.6,-6.11,-0.8,2.65,-6.16,1.67,5.92,-5.06,1.65,5.74,0.66,-0.7,8.6,-0.26,8.74,4.63,0.47,3.65,3.35
1999-01-01,7.44,-3.21,1.23,0.95,4.25,-2.69,4.2,3.05,-4.18,7.88,11.3,7.63,9.76,1.21,-10.39,-11.33,1.96,-1.38,-4.34,0.93,3.19,-2.88,-1.6,9.48,-5.92,6.19,-1.17,3.87,4.25,3.26
1999-02-01,8.67,-6.53,7.86,-0.18,2.65,2.68,4.34,3.96,-0.73,-5.87,7.19,4.41,9.87,3.11,-6.66,8.22,1.15,3.46,-0.49,8.1,-0.4,1.27,4.46,-4.02,4.03,12.46,0.86,5.02,-6.06,2.87
1999-03-01,5.92,-1.3,13.26,7.94,1.92,2.88,1.36,0.7,10.19,-7.24,5.25,6.08,17.93,12.53,4.09,13.49,4.46,9.0,1.04,10.59,5.34,2.86,8.63,8.1,2.79,9.54,5.62,11.17,9.17,7.85
1999-04-01,-0.05,2.85,5.17,12.13,5.85,5.0,12.24,4.58,3.82,5.95,-2.0,-0.15,-0.36,5.53,1.21,2.62,7.3,5.32,2.01,0.42,6.37,3.88,-6.98,0.24,2.8,6.88,7.24,4.11,4.28,2.85
1999-05-01,-4.5,-1.9,-0.45,-0.6,-8.7,-1.21,-0.14,-1.72,-1.54,2.78,-5.87,-11.49,-2.18,2.22,10.46,4.92,-7.1,-0.8,0.94,0.47,1.75,-2.48,-0.09,1.95,4.47,-5.64,-2.0,-14.92,-2.68,-2.07
1999-06-01,0.57,5.38,7.48,-1.61,3.55,0.51,8.03,-0.8,5.95,2.85,9.14,8.49,5.05,1.97,-3.03,0.57,6.74,2.06,11.65,5.42,2.59,4.11,10.26,7.57,16.36,0.95,7.05,9.17,6.7,5.51
1999-07-01,-5.95,-1.44,-0.4,-3.17,-2.27,-1.48,5.29,5.8,-0.34,0.94,-4.8,0.66,6.0,7.5,-1.33,9.21,-3.24,-2.4,8.34,8.79,4.96,2.5,-9.48,-8.86,3.34,0.39,-1.36,3.96,3.81,6.59
